factor,hold_day,mean_ic,std_ic,pos_pct,days,icir
amp_chg_ratio,1,-0.008268583215428083,0.07313309481280758,48.760330578512395,242,-0.11306212647765633
amp_chg_ratio,3,0.003219032407393092,0.06713683237868057,51.66666666666667,240,0.04794733819487292
amp_chg_ratio,5,0.007602327555225691,0.07125301099942774,55.88235294117647,238,0.10669482522341053
amp_chg_ratio,10,0.01068058535529407,0.07133053737349064,61.37339055793991,233,0.14973370100059577
amp_chg_ratio,20,0.013803366199369843,0.06326692655570618,62.78026905829597,223,0.21817665170151826
atr_pct,1,-0.051690958010046965,0.1754242569537613,40.909090909090914,242,-0.2946625450075116
atr_pct,3,-0.055873554258495314,0.15354029648728013,35.833333333333336,240,-0.3639015654963523
atr_pct,5,-0.05607063344541114,0.14585927542046623,34.45378151260504,238,-0.38441596040962916
atr_pct,10,-0.055737636518135895,0.13490237643479688,37.76824034334764,233,-0.41317016046100474
atr_pct,20,-0.06128331675529798,0.11546044169342014,31.838565022421523,223,-0.5307732748677887
boll_pos,1,-0.034502676823691986,0.11941321024742595,37.60330578512397,242,-0.2889351751971321
boll_pos,3,-0.03846208826118628,0.1037870749474876,35.0,240,-0.37058649432645313
boll_pos,5,-0.043049942175782195,0.10319811452343602,35.294117647058826,238,-0.4171582240100488
boll_pos,10,-0.04241699331347564,0.09485697874661667,35.1931330472103,233,-0.4471678718208022
boll_pos,20,-0.03163702665585009,0.09288211286143044,39.46188340807175,223,-0.3406148469409706
chg_10d,1,-0.033399108488639966,0.12085502698948572,38.429752066115704,242,-0.2763567997179435
chg_10d,3,-0.04467423839144111,0.10376088378952208,32.916666666666664,240,-0.43054990242818625
chg_10d,5,-0.05188095700448848,0.100388904213254,29.831932773109244,238,-0.516799714182345
chg_10d,10,-0.05374170531848898,0.08881141177448079,27.896995708154503,233,-0.6051216194485853
chg_10d,20,-0.04087630740214505,0.09275592715160669,38.11659192825112,223,-0.440686742695526
chg_1d,1,-0.021571854446611152,0.1209976459690018,42.561983471074385,242,-0.17828325728037397
chg_1d,3,-0.01248333730773732,0.11690252879399816,49.166666666666664,240,-0.10678415117721748
chg_1d,5,-0.014540616405651281,0.11688304518272785,46.21848739495798,238,-0.12440312778401148
chg_1d,10,-0.011639832748657724,0.11348513162805784,47.21030042918455,233,-0.10256702866421942
chg_1d,20,-0.0124567355584152,0.09967120971717487,49.775784753363226,223,-0.12497827199812458
chg_20d,1,-0.04171779086988479,0.11162310825965042,32.231404958677686,242,-0.37373794297900725
chg_20d,3,-0.046965762322330816,0.10610563157407857,32.083333333333336,240,-0.4426321357838699
chg_20d,5,-0.051597618819405194,0.10775739676581857,29.831932773109244,238,-0.47883134121677606
chg_20d,10,-0.05018440705222491,0.09624124501449444,29.184549356223176,233,-0.5214438679036922
chg_20d,20,-0.042240093702009374,0.08049880235484409,29.14798206278027,223,-0.5247294675989367
chg_30d,1,-0.037590167524986826,0.11981251856248869,38.01652892561984,242,-0.31374156871079817
chg_30d,3,-0.042899357341500174,0.10628461600304434,37.5,240,-0.40362715654231085
chg_30d,5,-0.04749337534675609,0.09980444713147517,33.61344537815126,238,-0.47586431979520666
chg_30d,10,-0.04769437462827215,0.09041456151151497,34.33476394849785,233,-0.5275076694609409
chg_30d,20,-0.05718146218825123,0.08093493547666664,24.2152466367713,223,-0.7065114940968418
chg_3d,1,-0.024326056388313946,0.12700197972431562,43.388429752066116,242,-0.19154076527876765
chg_3d,3,-0.022011116848797307,0.11173418149111866,44.166666666666664,240,-0.19699537379747029
chg_3d,5,-0.030213323546982255,0.11245560688627053,44.11764705882353,238,-0.26866889418450984
chg_3d,10,-0.034814019124212364,0.10210352659912542,37.76824034334764,233,-0.34096784199137126
chg_3d,20,-0.026899707730968767,0.09544230356321064,41.25560538116592,223,-0.28184260780287346
chg_5d,1,-0.03187545161298444,0.12625988399770446,40.49586776859504,242,-0.25245905986705935
chg_5d,3,-0.0339320889802208,0.1113521241779673,40.833333333333336,240,-0.3047278103647957
chg_5d,5,-0.03933019262217126,0.11281798996176082,36.554621848739494,238,-0.34861632116918645
chg_5d,10,-0.04572040418306487,0.09931535483517841,33.90557939914164,233,-0.46035584587037376
chg_5d,20,-0.03593124053712513,0.0962023384643757,38.56502242152467,223,-0.3734965398001285
chg_60d,1,-0.037614504056201994,0.1277878402223741,38.429752066115704,242,-0.2943511995409415
chg_60d,3,-0.04742771689518144,0.11301709839739639,35.0,240,-0.41965081007843363
chg_60d,5,-0.05475250024944265,0.1082312381879224,32.35294117647059,238,-0.5058844485764418
chg_60d,10,-0.06507574283970281,0.10049836232698911,27.467811158798284,233,-0.6475303809227003
chg_60d,20,-0.06870283402397645,0.09287406286609236,26.00896860986547,223,-0.7397418816815793
chg_accel_10d,1,-0.013237841827182694,0.11145034206037446,44.214876033057855,242,-0.11877793807049547
chg_accel_10d,3,-0.02535534807244172,0.09439301894344779,39.58333333333333,240,-0.2686146534589859
chg_accel_10d,5,-0.02987058964444951,0.08876899382646504,32.35294117647059,238,-0.3364980085596518
chg_accel_10d,10,-0.026850267736820907,0.08820606848776344,37.33905579399141,233,-0.3044038601555602
chg_accel_10d,20,-0.019491489564373077,0.09143050054145811,44.39461883408072,223,-0.21318366900479654
close_ma120,1,-0.044574241585605516,0.12285340093658521,37.60330578512397,242,-0.3628246450304942
close_ma120,3,-0.051100626470944106,0.11243256379195056,33.33333333333333,240,-0.4545002332731879
close_ma120,5,-0.056475644830584516,0.10994440788391217,27.73109243697479,238,-0.5136745553281425
close_ma120,10,-0.061883247376326826,0.10083979784653414,28.75536480686695,233,-0.6136788123128288
close_ma120,20,-0.0658040739082916,0.08215270435491831,25.112107623318387,223,-0.8009970508579131
close_ma20,1,-0.04304985166940852,0.12310642280769879,35.9504132231405,242,-0.34969622776429404
close_ma20,3,-0.047166553371812,0.1069037524159426,34.166666666666664,240,-0.44120577908524405
close_ma20,5,-0.05342110838478127,0.10398067831384532,29.411764705882355,238,-0.5137599528206588
close_ma20,10,-0.054956376796007345,0.09539352790557028,29.613733905579398,233,-0.5761017335516564
close_ma20,20,-0.04166485882676038,0.09284513132720042,35.874439461883405,223,-0.44875652854566017
close_ma60,1,-0.04515244243257238,0.12608517239624487,36.77685950413223,242,-0.35811064516510216
close_ma60,3,-0.0509322093171189,0.11281966054998194,33.75,240,-0.4514479929192364
close_ma60,5,-0.05633312366410462,0.1078365636967646,33.193277310924366,238,-0.5223935345576555
close_ma60,10,-0.062109985634696635,0.09971370160962986,29.184549356223176,233,-0.6228831608102527
close_ma60,20,-0.06775745344071597,0.07980403617739902,20.179372197309416,223,-0.849047951535881
dn_days,1,-0.008805279431682314,0.024818575535210944,38.01652892561984,242,-0.35478585058961054
dn_days,3,-0.006677228528847814,0.024168406840571165,40.833333333333336,240,-0.2762792174467555
dn_days,5,-0.0058826808687305375,0.027085104126756313,42.016806722689076,238,-0.2171924775035023
dn_days,10,-0.0021985612643779942,0.026964581164527917,45.92274678111588,233,-0.08153515350241064
dn_days,20,0.0004571003128715595,0.02609458265847541,51.12107623318386,223,0.017517057806751134
gap_open,1,0.02015596680601403,0.08906345168835518,59.50413223140496,242,0.22631019148620501
gap_open,3,0.019427323163570497,0.08030386293355758,65.41666666666667,240,0.24192264797578197
gap_open,5,0.021150752624918258,0.08263571878093377,63.4453781512605,238,0.2559516990587161
gap_open,10,0.01653427876693185,0.08194579000381746,60.08583690987125,233,0.20177093620259928
gap_open,20,0.018737637009844325,0.07486771535795154,61.43497757847533,223,0.2502765967981984
golden_cross,1,-0.0036745115861975316,0.045190784762487064,44.214876033057855,242,-0.0813110815735988
golden_cross,3,-0.0036695683476279436,0.03899717807164545,45.83333333333333,240,-0.09409830477698229
